archivo_csv,propiedad,tipo
personas_esclavizadas.csv,persona_idno,Texto
personas_esclavizadas.csv,nombres,Texto
personas_esclavizadas.csv,apellidos,Texto
personas_esclavizadas.csv,nombre_normalizado,Texto
personas_esclavizadas.csv,sexo,Texto
personas_esclavizadas.csv,edad,Numérico entero
personas_esclavizadas.csv,unidad_temporal_edad,Texto
personas_esclavizadas.csv,altura,Texto
personas_esclavizadas.csv,cabello,Texto
personas_esclavizadas.csv,ojos,Texto
personas_esclavizadas.csv,calidades,Texto (valores |-delimitados)
personas_esclavizadas.csv,agencia/adaptacion,Texto (valores |-delimitados)
personas_esclavizadas.csv,etnonimos,Texto (valores |-delimitados)
personas_esclavizadas.csv,procedencia_lugar_id,Numérico entero
personas_esclavizadas.csv,procedencia_adicional,Texto
personas_esclavizadas.csv,marcas_corporales,Texto
personas_esclavizadas.csv,conducta,Texto
personas_esclavizadas.csv,salud,Texto
personas_esclavizadas.csv,ocupaciones,Texto (valores |-delimitados)
personas_esclavizadas.csv,ocupacion_categoria,Texto
personas_esclavizadas.csv,estado_matrimonial,Texto (valores |-delimitados)
personas_esclavizadas.csv,lugar_nacimiento_id,Numérico entero
personas_esclavizadas.csv,fecha_nacimiento,Fecha (ISO 8601)
personas_esclavizadas.csv,fecha_nacimiento_raw,Texto
personas_esclavizadas.csv,fecha_nacimiento_factual,Booleano
personas_esclavizadas.csv,lugar_defuncion_id,Numérico entero
personas_esclavizadas.csv,fecha_defuncion,Fecha (ISO 8601)
personas_esclavizadas.csv,fecha_defuncion_raw,Texto
personas_esclavizadas.csv,fecha_defuncion_factual,Booleano
personas_esclavizadas.csv,documentos,Texto (valores |-delimitados)
personas_esclavizadas.csv,notas,Texto
personas_no_esclavizadas.csv,persona_idno,Texto
personas_no_esclavizadas.csv,nombres,Texto
personas_no_esclavizadas.csv,apellidos,Texto
personas_no_esclavizadas.csv,nombre_normalizado,Texto
personas_no_esclavizadas.csv,sexo,Texto
personas_no_esclavizadas.csv,honorifico,Texto
personas_no_esclavizadas.csv,calidades,Texto (valores |-delimitados)
personas_no_esclavizadas.csv,ocupaciones,Texto (valores |-delimitados)
personas_no_esclavizadas.csv,ocupacion_categoria,Texto
personas_no_esclavizadas.csv,estado_matrimonial,Texto (valores |-delimitados)
personas_no_esclavizadas.csv,entidad_asociada,Texto
personas_no_esclavizadas.csv,lugar_nacimiento_id,Numérico entero
personas_no_esclavizadas.csv,fecha_nacimiento,Fecha (ISO 8601)
personas_no_esclavizadas.csv,fecha_nacimiento_raw,Texto
personas_no_esclavizadas.csv,fecha_nacimiento_factual,Booleano
personas_no_esclavizadas.csv,lugar_defuncion_id,Numérico entero
personas_no_esclavizadas.csv,fecha_defuncion,Fecha (ISO 8601)
personas_no_esclavizadas.csv,fecha_defuncion_raw,Texto
personas_no_esclavizadas.csv,fecha_defuncion_factual,Booleano
personas_no_esclavizadas.csv,documentos,Texto (valores |-delimitados)
personas_no_esclavizadas.csv,notas,Texto
documentos.csv,documento_idno,Texto
documentos.csv,archivo_idno,Texto
documentos.csv,archivo_nombre,Texto
documentos.csv,archivo_nombre_abreviado,Texto
documentos.csv,archivo_ubicacion_lugar_id,Numérico entero
documentos.csv,fondo,Texto
documentos.csv,subfondo,Texto
documentos.csv,serie,Texto
documentos.csv,subserie,Texto
documentos.csv,tipo_udc,Texto
documentos.csv,unidad_documental_compuesta,Texto
documentos.csv,tipo_documento,Texto
documentos.csv,sigla_documento,Texto
documentos.csv,titulo,Texto
documentos.csv,descripcion,Texto
documentos.csv,deteriorado,Booleano
documentos.csv,fecha_inicial,Fecha (ISO 8601)
documentos.csv,fecha_inicial_raw,Texto
documentos.csv,fecha_inicial_aproximada,Booleano
documentos.csv,fecha_final,Fecha (ISO 8601)
documentos.csv,fecha_final_raw,Texto
documentos.csv,fecha_final_aproximada,Booleano
documentos.csv,lugar_de_produccion_id,Numérico entero
documentos.csv,folio_inicial,Texto
documentos.csv,folio_final,Texto
